0:704,272:1203,325:1204,252:744,229:
0:933,67:1055,59:1055,122:941,131:
0:1140,36:1237,48:1214,107:1133,93:
0:556,66:739,49:755,121:577,128:
0:0,0:0,0:0,0:0,0:
1:1074,259:1171,269:1159,343:1075,338:
0:706,55:892,57:950,122:772,151:
0:199,215:333,222:321,283:216,284:
1:1121,259:1202,259:1204,331:1132,330:
0:1363,254:1555,255:1550,335:1399,336:
0:0,0:0,0:0,0:0,0:
0:1526,259:1753,239:1548,338:1721,320:
0:576,283:672,300:588,336:654,338:
0:340,215:581,227:574,328:351,321:
0:707,253:885,253:873,308:735,334:
0:722,69:1036,62:1014,134:747,127:
